term,n_obs,Coefficient,Odds_Ratio,Lower_CI,Upper_CI,P_Value
Intercept,353,-0.20795217092125406,0.8122458847552816,0.15561342591924499,4.239630182322838,0.8051756644220744
C(sector)[T.Consumer_Disc],353,0.9506789066744814,2.5874657108919457,0.40108219021367636,16.692286440030696,0.31756273684176684
C(sector)[T.Consumer_Staples],353,-0.5973553898176113,0.5502649498121476,0.08732410313893132,3.4674448875819373,0.5247540487213342
C(sector)[T.Energy],353,-1.0034387061318149,0.36661658442234907,0.05561878566297065,2.416588538771247,0.2969927580732882
C(sector)[T.Financials],353,-0.2682224204413875,0.7647376688954878,0.1236378409475733,4.730135189562961,0.7729604816710595
C(sector)[T.Healthcare],353,2.297690991437312,9.951178550447302,1.046680619505066,94.60952338040606,0.04553588695767407
C(sector)[T.Industrials],353,1.6064582877114244,4.985124049767089,0.6764509035073415,36.738012563385546,0.11493687476968063
C(sector)[T.Materials],353,-0.40167288910501875,0.6691996123756818,0.08097306380576881,5.530581407639141,0.7093242525452723
C(sector)[T.Real_Estate],353,-2.0570059783178722,0.12783614167396806,0.015941998577857303,1.025096009027703,0.05279080542639235
C(sector)[T.Technology],353,0.4578536371252963,1.580677633607449,0.27456341352716224,9.100053606157788,0.6081880140610472
C(sector)[T.Utilities],353,-4.964984174326851,0.006978061140741184,4.6796705309920986e-05,1.0405291774589764,0.051846630140846894
C(asset_type)[T.Stock],353,1.0239146238681347,2.7840720547387914,1.4730302299022089,5.261981084048798,0.0016189931956956587
has_profit_targets,353,1.7537306610825332,5.776111243897086,0.3632789849674205,91.83977736798194,0.2140384468217278
has_profit_targets:C(sector)[T.Consumer_Disc],353,1.4133579716521412,4.109732625019213,0.008636561560980005,1955.628073729703,0.6531980157350951
has_profit_targets:C(sector)[T.Consumer_Staples],353,0.06027998229237015,1.0621338835983962,0.03541670987313013,31.852997941621265,0.9722868273977875
has_profit_targets:C(sector)[T.Energy],353,-0.7778388914863008,0.45939774767796243,0.01722262353386707,12.254015200214837,0.6424507643554975
has_profit_targets:C(sector)[T.Financials],353,-1.10778103384724,0.33029105319858465,0.012435961321732358,8.772315786507564,0.5079203854809233
has_profit_targets:C(sector)[T.Healthcare],353,1.0658128770054762,2.903197968018378,0.00020669809104933656,40777.146991136084,0.8268547243807239
has_profit_targets:C(sector)[T.Industrials],353,1.165552363379641,3.2076942067635463,0.001948801765617121,5279.809524826726,0.7577367266790848
has_profit_targets:C(sector)[T.Materials],353,-3.422027735340436,0.03264616998522176,0.00041436817503202915,2.572042157005937,0.1245520285008661
has_profit_targets:C(sector)[T.Real_Estate],353,0.2970820321893765,1.3459257041519157,0.045572777020458845,39.74995862735316,0.8634469384795173
has_profit_targets:C(sector)[T.Technology],353,1.970879465447538,7.176985624480548,0.022948459242122313,2244.55690513002,0.5013671233329453
has_profit_targets:C(sector)[T.Utilities],353,-1.8640093516333436,0.155049733593681,1.195406454489713e-05,2011.0665955650738,0.6996683080266176
has_pyramiding,353,1.244953002970509,3.472771585552952,0.20632991291200145,58.45077097748567,0.38743405469348113
has_pyramiding:C(sector)[T.Consumer_Disc],353,-0.28025926594093276,0.7555878178721089,0.018941870594351796,30.140262424080408,0.8815395016010794
has_pyramiding:C(sector)[T.Consumer_Staples],353,1.4453317030414834,4.243259411462472,0.09817662555840422,183.39650940899077,0.4519670240085454
has_pyramiding:C(sector)[T.Energy],353,-1.3748796230788134,0.25287003368881616,0.008567857553277573,7.463155583547485,0.4259689122078252
has_pyramiding:C(sector)[T.Financials],353,1.3306522556137625,3.783510398817707,0.07838165224325348,182.63140069484638,0.5011225329878619
has_pyramiding:C(sector)[T.Healthcare],353,1.1161110885578316,3.0529584025633296,0.001035518852491918,9000.854967876865,0.7842230031009537
has_pyramiding:C(sector)[T.Industrials],353,1.2237244197255799,3.399826563975466,0.006205241555617978,1862.751121211122,0.703693130736948
has_pyramiding:C(sector)[T.Materials],353,-2.5510473124619732,0.07799993290681348,0.0015185525210254871,4.006439980988508,0.20431135548809198
has_pyramiding:C(sector)[T.Real_Estate],353,-0.285684654192312,0.7514995608211205,0.023191558752995226,24.351601198060834,0.8721096612081518
has_pyramiding:C(sector)[T.Technology],353,2.094812566932624,8.123918136606944,0.04943266902298549,1335.109901907241,0.42096873028793036
has_pyramiding:C(sector)[T.Utilities],353,-1.789641536249583,0.16702002956379036,2.9894151594297106e-06,9331.487527751435,0.7482901921232035
trades,353,-0.0026892830314748867,0.9973143298507235,0.9904608451627225,1.0042152371628477,0.4446414670004505
